variable,label,description,units,role,how_created,paper_reference,example_values,notes
va_agri_share,Agriculture VA share,Agriculture value added as % of GDP.,% of GDP,outcome,Province trajectory + district/type offset; Aceh falls 44->32% after 2004.,Fig. 4,41.2,Aggregate to province for the structural-change synthetic control.
va_manu_share,Manufacturing VA share,Manufacturing value added as % of GDP.,% of GDP,outcome,Province trajectory + noise; Aceh falls ~6->3.5% after 2004.,Fig. 5,5.4,
va_serv_share,Services VA share,Services / tertiary value added as % of GDP.,% of GDP,outcome,Province trajectory + offset; Aceh rises ~40->55% after 2004.,Fig. 6,47.8,
capital_formation_pc_usd,Capital formation per capita,"Gross capital formation per capita, current USD.",current USD per capita,outcome,Smooth path + reconstruction spike (peak 2006) for Aceh; smooth for donors.,Fig. 7,198.6,Reproduces the post-tsunami investment bonanza.
poverty_rate,Poverty rate,Share of population below the poverty line.,%,covariate,District base + downward trend; Aceh improves after 2005.,fn. 9 (SC covariate),18.4,Synthetic-control predictor.
doctors_per_1000,"Doctors per 1,000","Physicians per 1,000 people.","per 1,000",covariate,District base + upward trend; Aceh rises faster after 2005.,fn. 9; Sect. 5,0.42,Synthetic-control predictor.
water_access_pct,Water access,% of households with clean-water access.,%,covariate,District base + upward trend; Aceh boosted after 2005.,fn. 9,74.5,Synthetic-control predictor.
sanitation_access_pct,Sanitation access,% of households with sanitation access.,%,covariate,District base + upward trend; Aceh boosted after 2005.,fn. 9,69.1,Synthetic-control predictor.
electricity_access_pct,Electricity access,% of households with electricity.,%,covariate,Aceh 84% (2004) -> 97% (2012); others smooth upward trend.,Sect. 5,92.0,Cited improvement in the paper.
hdi,Human Development Index,Human Development Index (0-100 scale).,index 0-100,covariate,Aceh ~69 -> ~73; others smooth upward trend.,Sect. 5,71.3,Cited improvement in the paper.
